estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
BernoulliNaiveBayes,0.48526522593320237,0.52240088722407,0.550098231827112,0.017103069535070146,,,,,
LogisticRegression,0.48526522593320237,0.5223516747681778,0.5510805500982319,0.0173452440629225,0.0001,,,,
RandomForest,0.48379174852652257,0.5222539015171629,0.5486247544204322,0.017645993224776436,,,100,,
DecisionTree,0.48379174852652257,0.5222047614680229,0.5486247544204322,0.017662730435841104,,gini,,,
DecisionTree,0.48379174852652257,0.5222047614680229,0.5486247544204322,0.017662730435841104,,entropy,,,
SupportVectorMachine,0.48379174852652257,0.5221556455544668,0.5486247544204322,0.01763492670192867,100,,,,
LinearDiscriminantAnalysis,0.4862475442043222,0.5219096315461739,0.5505893909626719,0.016722131300374705,,,,,
LogisticRegression,0.4862475442043222,0.5219096315461739,0.5505893909626719,0.016722131300374705,1.0,,,,
LogisticRegression,0.4862475442043222,0.5219096315461739,0.5505893909626719,0.016722131300374705,10000.0,,,,
RandomForest,0.48379174852652257,0.5218609500731308,0.5466601178781926,0.01728516583284324,,,10,,
QuadraticDiscriminantAnalysis,0.48379174852652257,0.5218120996509994,0.5481335952848723,0.017087718590091547,,,,,
SupportVectorMachine,0.48379174852652257,0.5214188585799587,0.5486247544204322,0.017770963201826764,0.1,,,,
MultilayerPerceptron,0.48379174852652257,0.5165562624599953,0.5461689587426326,0.018813756796497976,,,,relu,"(17, 8, 17)"
MultilayerPerceptron,0.48526522593320237,0.5161625386772736,0.5466601178781926,0.01953313849581743,,,,tanh,"(17, 8, 17)"
K-NearestNeighbor,0.49975429975429975,0.5014734774066798,0.5147347740667977,0.004423162720978789,,,,,
