estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
BernoulliNaiveBayes,0.5114285714285715,0.5986691086691087,0.6438746438746439,0.0389082924514884,,,,,
LogisticRegression,0.5114285714285715,0.596955636955637,0.6324786324786325,0.03826101998269879,0.0001,,,,
MultilayerPerceptron,0.4942857142857143,0.5958103378103379,0.6438746438746439,0.04483646636781114,,,,tanh,"(17, 8, 17)"
RandomForest,0.49142857142857144,0.5952348392348392,0.6609686609686609,0.04504678742531668,,,100,,
RandomForest,0.49142857142857144,0.5935254375254375,0.6438746438746439,0.04352116387605346,,,10,,
SupportVectorMachine,0.49142857142857144,0.5932405372405372,0.6410256410256411,0.04245965188020572,100,,,,
DecisionTree,0.49142857142857144,0.5923858363858363,0.6410256410256411,0.04207041919529869,,gini,,,
DecisionTree,0.49142857142857144,0.5923858363858363,0.6410256410256411,0.04207041919529869,,entropy,,,
MultilayerPerceptron,0.49142857142857144,0.5921009361009361,0.6438746438746439,0.04223173904291137,,,,relu,"(17, 8, 17)"
SupportVectorMachine,0.4942857142857143,0.5918152218152218,0.6381766381766382,0.04083498998995993,0.1,,,,
LogisticRegression,0.4942857142857143,0.5898217338217339,0.6239316239316239,0.03959922028627573,1.0,,,,
LogisticRegression,0.4942857142857143,0.5898217338217339,0.6267806267806267,0.0398851518178776,10000.0,,,,
LinearDiscriminantAnalysis,0.4942857142857143,0.5892519332519333,0.6239316239316239,0.03939072217165991,,,,,
QuadraticDiscriminantAnalysis,0.4985754985754986,0.5002849002849004,0.5014245014245015,0.0010659992554911575,,,,,
K-NearestNeighbor,0.43142857142857144,0.4988164428164428,0.5641025641025641,0.04100131686477439,,,,,
