estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
SupportVectorMachine,0.5188834154351396,0.5271016982110448,0.5385878489326765,0.005480055036075005,100,,,,
DecisionTree,0.5188834154351396,0.5269372245268342,0.5385878489326765,0.005670633625304325,,gini,,,
DecisionTree,0.5188834154351396,0.5269372245268342,0.5385878489326765,0.005670633625304325,,entropy,,,
RandomForest,0.5188834154351396,0.5269372245268342,0.5385878489326765,0.005670633625304325,,,10,,
LinearDiscriminantAnalysis,0.5172413793103449,0.5266082771584132,0.5385878489326765,0.005744212280114984,,,,,
LogisticRegression,0.5172413793103449,0.5266082771584132,0.5385878489326765,0.005744212280114984,1.0,,,,
LogisticRegression,0.5172413793103449,0.5266082771584132,0.5385878489326765,0.005744212280114984,10000.0,,,,
BernoulliNaiveBayes,0.5172413793103449,0.5266082771584132,0.5385878489326765,0.005744212280114984,,,,,
RandomForest,0.5188834154351396,0.5266082771584132,0.5385878489326765,0.0056970797951229005,,,100,,
MultilayerPerceptron,0.5188834154351396,0.5266082771584132,0.5385878489326765,0.005455312599371979,,,,relu,"(17, 8, 17)"
