estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
SupportVectorMachine,0.5277246653919694,0.6425346043711747,0.7904306220095694,0.08585949327920267,100,,,,
RandomForest,0.5258126195028681,0.642152012222456,0.7904306220095694,0.08627743367410544,,,100,,
RandomForest,0.5277246653919694,0.6420563184425516,0.7904306220095694,0.08606803484462813,,,10,,
DecisionTree,0.5258126195028681,0.6418652053390907,0.7904306220095694,0.08633263252427566,,gini,,,
DecisionTree,0.5258126195028681,0.6418652053390907,0.7904306220095694,0.08633263252427566,,entropy,,,
MultilayerPerceptron,0.5277246653919694,0.64071797780563,0.7894736842105263,0.08605479089013363,,,,relu,"(17, 8, 17)"
SupportVectorMachine,0.5320574162679426,0.6404288837860339,0.7875598086124402,0.08370088362486901,0.1,,,,
MultilayerPerceptron,0.5200764818355641,0.6393779904306219,0.7913875598086124,0.08697647445754476,,,,tanh,"(17, 8, 17)"
LogisticRegression,0.4995215311004785,0.6312447510223499,0.7818181818181819,0.08753027875623749,10000.0,,,,
LinearDiscriminantAnalysis,0.49856459330143543,0.6283765907032486,0.7818181818181819,0.09085358343510015,,,,,
